,,,,,,Testing 22
,,,,,,RD Detail
,,,,,,[As on date 05/06/2026]
DocNo,Date,Account.Name,Account2.Name,Voucher name,Item.Name,Quantity,Rate,Gross,Department.Name,Warehouse.Name,T1,T2
Focus_24,20/11/2020,,,Opening Stocks,RMA2,10.00,5.00,50.00,,wh3,,10.00
Focus_24,20/11/2020,,,Opening Stocks,RMA1,1000.00,2.00,2000.00,,wh3,,1000.00
Focus_25,20/11/2020,,,Opening Stocks,RMA3,1.00,5.00,5.00,,wh4,,1.00
Focus_7,20/11/2020,,,Opening Stocks,RMA1,10.00,2.00,20.00,,wh2,,10.00
Focus_7,20/11/2020,,,Opening Stocks,RMA1,5.00,3.00,15.00,,wh2,,5.00
Focus_7,20/11/2020,,,Opening Stocks,RMA2,3.00,2.00,6.00,,wh2,,3.00
Focus_1,20/11/2020,,,Opening Stocks,RMA1,2.00,3.00,6.00,,wh1,,2.00
Focus_10,20/11/2020,,,Opening Stocks,RMA2,5.00,6.00,30.00,,wh4,,5.00
Focus_13,20/11/2020,,,Opening Stocks,RMA1,1.00,5.00,5.00,,wh1,,1.00
Focus_30,20/11/2020,,,Opening Stocks,RMA3,5.00,56.00,280.00,,wh6,,5.00
Focus_30,20/11/2020,,,Opening Stocks,RMA2,3.00,5.00,15.00,,wh6,,3.00
Focus_23,20/11/2020,,,Opening Stocks,RMA1,1.00,3.00,3.00,,wh1,,1.00
Focus_8,20/11/2020,,,Opening Stocks,RMA2,10.00,3.00,30.00,,wh1,,10.00
Focus_9,20/11/2020,,,Opening Stocks,RMA2,10.00,3.00,30.00,,wh2,,10.00
Focus_26,20/11/2020,,,Opening Stocks,RMA3,11.00,6.00,66.00,,wh4,,11.00
Focus_26,20/11/2020,,,Opening Stocks,RMA2,1.00,3.00,3.00,,wh4,,1.00
Focus_26,20/11/2020,,,Opening Stocks,RMA1,1.00,6.00,6.00,,wh4,,1.00
Focus_27,20/11/2020,,,Opening Stocks,RMA1,1.00,3.00,3.00,,wh1,,1.00
1,21/11/2020,Cost of goods sold - Computers,,Delivery Notes,RMA1,2.00,3.00,6.00,dep2,wh1,,2.00
7,21/11/2020,Customer A,,Delivery Notes,RMA1,1.00,5.00,5.00,dep1,wh1,,1.00
8,21/11/2020,Customer B,,Delivery Notes,RMA1,2.00,6.00,12.00,dep1,wh4,,2.00
Focus_21,20/10/2022,Vendor A,Purchase,Purchases Vouchers,item1,15.00,6.00,90.00,dep1,wh1,,15.00
Focus_21,20/10/2022,Vendor A,Purchase,Purchases Vouchers,item2,20.00,3.00,60.00,dep1,wh1,,20.00
1,05/01/2023,Customer A,Cost of goods sold - Computers,New SI,item1,10.00,3.60,36.00,dep1,wh2,123.00,10.00
2,10/02/2023,Customer A,Cost of goods sold - Computers,New SI,item3,15.00,3.00,45.00,dep1,wh2,,15.00
Focus_4,10/04/2023,Vendor B,Purchase,Purchases Vouchers,RMA1,1.00,3.00,3.00,dep1,wh1,,1.00
2,10/04/2023,Vendor B,Purchase,Purchases Returns,RMA1,1.00,3.00,3.00,dep1,wh1,,1.00
Focus_1,17/04/2023,Vendor A,Cost of goods sold - Computers,Purchases Vouchers,item1,5.00,9.00,45.00,dep1,wh1,123.00,5.00
Focus_1,17/04/2023,Vendor A,Cost of goods sold - Computers,Purchases Vouchers,item2,10.00,6.00,60.00,dep1,wh1,,10.00
Focus_2,17/04/2023,Vendor B,Cost of goods sold - Electronics,Purchases Vouchers,item3,12.00,3.00,36.00,dep2,wh2,,12.00
Focus_2,17/04/2023,Vendor B,Cost of goods sold - Electronics,Purchases Vouchers,item4,15.00,8.00,120.00,dep2,wh2,,15.00
Focus_3,17/04/2023,Vendor C,Inventory FG,Purchases Vouchers,item4,10.00,3.00,30.00,dep3,wh3,,10.00
Focus_3,17/04/2023,Vendor C,Inventory FG,Purchases Vouchers,item1,8.00,4.00,32.00,dep3,wh3,123.00,8.00
1,18/04/2023,Vendor A,,Material Receipt Notes,item2,1.00,8.00,8.00,dep1,wh1,,1.00
2,18/04/2023,Vendor B,,Material Receipt Notes,item4,1.00,2.00,2.00,dep2,wh2,,1.00
3,18/04/2023,Vendor B,,Material Receipt Notes,item4,1.00,2.00,2.00,dep2,wh2,,1.00
4,18/04/2023,Vendor B,,Material Receipt Notes,item4,1.00,2.00,2.00,dep2,wh2,,1.00
5,18/04/2023,Vendor C,,Material Receipt Notes,item2,1.00,5.00,5.00,dep3,wh3,,1.00
6,18/04/2023,Vendor B,,Material Receipt Notes,item4,1.00,2.00,2.00,dep2,wh2,,1.00
7,18/04/2023,Vendor B,,Material Receipt Notes,item4,1.00,2.00,2.00,dep2,wh2,,1.00
8,18/04/2023,Vendor C,,Material Receipt Notes,item1,1.00,3.00,3.00,dep3,wh3,123.00,1.00
9,18/04/2023,Vendor B,,Material Receipt Notes,item4,1.00,2.00,2.00,dep2,wh2,,1.00
10,18/04/2023,Vendor C,,Material Receipt Notes,item2,1.00,5.00,5.00,dep3,wh3,,1.00
11,18/04/2023,Vendor A,,Material Receipt Notes,item2,1.00,4.00,4.00,dep1,wh1,,1.00
12,18/04/2023,Vendor C,,Material Receipt Notes,item4,1.00,7.00,7.00,dep3,wh3,,1.00
13,18/04/2023,Vendor C,,Material Receipt Notes,item3,1.00,6.00,6.00,dep3,wh3,,1.00
14,18/04/2023,Vendor A,,Material Receipt Notes,item2,1.00,4.00,4.00,dep1,wh1,,1.00
15,18/04/2023,Vendor A,,Material Receipt Notes,item1,1.00,32.00,32.00,dep1,wh1,123.00,1.00
16,18/04/2023,Vendor B,,Material Receipt Notes,item3,1.00,4.00,4.00,dep2,wh2,,1.00
1,19/04/2023,Vendor B,Purchase,Purchases Returns,RMA1,1.00,6.00,6.00,dep1,wh1,,1.00
3,20/04/2023,Customer B,Cost of goods sold - Computers,New SI,item2,15.00,9.00,135.00,dep3,wh3,,15.00
1,20/04/2023,Vendor A,Purchase,Purchases Vouchers,batch1,50.00,3.00,150.00,dep1,wh1,,50.00
1,20/04/2023,Vendor A,Purchase,Purchases Vouchers,Batch,7.50,3.00,22.50,dep1,wh1,,7.50
Focus_5,21/04/2023,Vendor A,Purchase,Purchases Vouchers,item3,5.00,3.00,15.00,dep3,wh2,,5.00
3,21/04/2023,Vendor A,Purchase,Purchases Returns,item3,5.00,3.00,15.00,dep3,wh2,,5.00
5,24/04/2023,Customer B,Sales - Computers,Sales Invoices,item1,10.00,3.00,30.00,dep3,wh2,123.00,10.00
1,27/04/2023,Customer A,Sales - Computers,Sales Invoices,item1,20.00,3.00,60.00,dep1,wh2,123.00,20.00
7,01/05/2023,Customer B,Sales - Computers,Sales Invoices,item3,6.00,6.00,36.00,dep2,wh2,,6.00
8,01/05/2023,Customer B,Sales - Computers,Sales Invoices,item4,2.00,8.00,16.00,dep2,wh2,,2.00
15,02/05/2023,Customer B,Sales - Computers,Sales Invoices,item2,2.00,9.00,18.00,dep2,wh2,,2.00
6,02/05/2023,Customer A,Sales - Computers,Sales Invoices,item4,15.00,6.29,94.35,dep2,wh2,,15.00
6,02/05/2023,Customer A,Sales - Computers,Sales Invoices,item3,7.00,7.00,49.00,dep2,wh2,,7.00
Focus_6,04/05/2023,Vendor A,Purchase,Purchases Vouchers,item1,3.00,4.00,12.00,dep1,wh2,123.00,3.00
Focus_7,04/05/2023,Vendor A,Purchase,Purchases Vouchers,item1,3.00,4.00,12.00,dep1,wh2,123.00,3.00
Focus_7,04/05/2023,Vendor A,Purchase,Purchases Vouchers,item2,8.00,6.00,48.00,dep1,wh2,,8.00
Focus_7,04/05/2023,Vendor A,Purchase,Purchases Vouchers,item3,9.00,6.00,54.00,dep1,wh2,,9.00
2,04/05/2023,Cost of goods sold - Computers,Cash,Sales Invoices,item2,8.00,5.00,40.00,dept,wh3,,8.00
2,04/05/2023,Cost of goods sold - Computers,Cash,Sales Invoices,item4,7.00,4.00,28.00,dept,wh3,,7.00
3,04/05/2023,Customer B,Sales - Computers,Sales Invoices,item2,2.00,6.00,12.00,dep2,wh2,,2.00
4,04/05/2023,Customer B,Sales - Computers,Sales Invoices,item3,4.00,5.00,20.00,dep2,wh2,,4.00
9,04/05/2023,Cost of goods sold - Computers,Sales - Computers,Sales Invoices,item3,5.00,6.00,30.00,dept,wh3,,5.00
10,05/05/2023,Customer B,Sales - Computers,Sales Invoices,item1,10.00,5.00,50.00,dep2,wh2,123.00,10.00
1,25/05/2023,,,Stock Transfers,RMA1,1.00,3.00,3.00,,wh2,,1.00
1,25/05/2023,,,Stock Transfers,RMA1,1.00,3.00,3.00,,wh1,,1.00
2,25/05/2023,,,Stock Transfers,RMA1,1.00,3.00,3.00,,wh2,,1.00
2,25/05/2023,,,Stock Transfers,RMA1,1.00,3.00,3.00,,wh1,,1.00
4,25/05/2023,,,Stock Transfers,RMA1,1.00,3.00,3.00,,wh2,,1.00
4,25/05/2023,,,Stock Transfers,RMA1,1.00,3.00,3.00,,wh1,,1.00
17,29/05/2023,Vendor A,,Material Receipt Notes,item1,5.00,10.00,50.00,dep1,wh1,123.00,5.00
19,29/05/2023,Vendor A,,Material Receipt Notes,item1,1.00,10.00,10.00,dep1,wh1,123.00,1.00
19,29/05/2023,Vendor A,,Material Receipt Notes,item2,1.00,6.00,6.00,dep1,wh1,,1.00
Focus_8,31/05/2023,Vendor B,Purchase,Purchases Vouchers,item1,15.00,3.00,45.00,dep2,wh2,123.00,15.00
Focus_8,31/05/2023,Vendor B,Purchase,Purchases Vouchers,item2,20.00,6.00,120.00,dep2,wh2,,20.00
4,31/05/2023,Vendor B,Purchase,Purchases Returns,item1,15.00,3.00,45.00,dep2,wh2,123.00,15.00
4,31/05/2023,Vendor B,Purchase,Purchases Returns,item2,20.00,6.00,120.00,dep2,wh2,,20.00
11,01/06/2023,Customer B,Sales - Computers,Sales Invoices,item1,15.00,,,dep3,wh2,123.00,
11,01/06/2023,Customer B,Sales - Computers,Sales Invoices,item2,10.00,,,dep3,wh2,,
32,01/06/2023,Customer B,Sales - Computers,Sales Invoices,item1,15.00,,,dep3,wh2,123.00,
32,01/06/2023,Customer B,Sales - Computers,Sales Invoices,item2,10.00,,,dep3,wh2,,
7,13/06/2023,,,Stock Transfers,RMA1,1.00,2.00,2.00,,wh2,,1.00
7,13/06/2023,,,Stock Transfers,RMA1,1.00,2.00,2.00,,wh3,,1.00
Focus_9,14/06/2023,Vendor A,Purchase,Purchases Vouchers,item1,50.00,10.00,500.00,dep1,wh1,123.00,50.00
Focus_9,14/06/2023,Vendor A,Purchase,Purchases Vouchers,item2,7.50,3.00,22.50,dep1,wh1,,7.50
5,14/06/2023,Vendor A,Purchase,Purchases Returns,item1,50.00,10.00,500.00,dep1,wh1,123.00,50.00
5,14/06/2023,Vendor A,Purchase,Purchases Returns,item2,7.50,3.00,22.50,dep1,wh1,,7.50
16,16/06/2023,Customer B,Sales - Computers,Sales Invoices,item3,8.00,22.00,176.00,dep2,wh3,,8.00
17,16/06/2023,Customer B,Sales - Computers,Sales Invoices,item4,5.00,12.00,60.00,dep2,wh3,,5.00
47,16/06/2023,Customer B,Sales - Computers,Sales Invoices,item3,4.36,22.00,95.92,dep2,wh3,,4.36
47,16/06/2023,Customer B,Sales - Computers,Sales Invoices,item4,10.41,12.00,124.92,dep2,wh3,,10.41
14,19/06/2023,Customer B,Sales - Computers,Sales Invoices,item1,10.00,3.00,30.00,dep3,wh2,123.00,10.00
12,20/06/2023,Customer B,Sales - Computers,Sales Invoices,item4,6.00,8.00,48.00,dep2,wh3,,6.00
12,20/06/2023,Customer B,Sales - Computers,Sales Invoices,item1,10.00,3.89,38.90,dep2,wh3,123.00,10.00
13,20/06/2023,Customer C,Sales - Computers,Sales Invoices,item1,5.00,3.00,15.00,dep2,wh2,123.00,5.00
Focus_10,21/06/2023,Vendor A,Purchase,Purchases Vouchers,item1,10.00,10.00,100.00,dep1,wh1,123.00,10.00
Focus_11,21/06/2023,Vendor A,Purchase,Purchases Vouchers,item1,10.00,10.00,100.00,dep1,wh1,123.00,10.00
18,03/07/2023,Customer B,Sales - Computers,Sales Invoices,item1,5.00,122.00,610.00,dep1,wh1,123.00,5.00
20,03/07/2023,Vendor A,,Material Receipt Notes,item1,5.00,4.00,20.00,dep1,wh1,123.00,5.00
2,17/07/2023,Customer A,,Delivery Notes,RMA1,1.00,2.00,2.00,dep1,wh1,,1.00
3,17/07/2023,Customer B,,Delivery Notes,RMA1,1.00,2.00,2.00,dep1,wh1,,1.00
4,18/07/2023,Customer A,Cost of goods sold - Computers,New SI,item4,9.00,8.00,72.00,dep1,wh2,,9.00
Focus_12,18/07/2023,Vendor C,Purchase,Purchases Vouchers,item1,10.00,10.00,100.00,dep1,wh2,123.00,10.00
Focus_12,18/07/2023,Vendor C,Purchase,Purchases Vouchers,item3,15.00,23.00,345.00,dep3,wh2,,15.00
Focus_12,18/07/2023,Vendor C,Purchase,Purchases Vouchers,item2,20.00,6.00,120.00,dep2,wh2,,20.00
Focus_13,18/07/2023,Vendor C,Purchase,Purchases Vouchers,item1,10.00,10.00,100.00,dep1,wh2,123.00,10.00
Focus_13,18/07/2023,Vendor C,Purchase,Purchases Vouchers,item3,15.00,23.00,345.00,dep3,wh2,,15.00
Focus_13,18/07/2023,Vendor C,Purchase,Purchases Vouchers,item2,20.00,6.00,120.00,dep2,wh2,,20.00
4,27/07/2023,Customer A,,Delivery Notes,RMA1,1.00,5.00,5.00,dep2,wh1,,1.00
19,07/08/2023,Customer B,Sales - Computers,Sales Invoices,item2,10.00,66.00,660.00,dep2,wh2,,10.00
Focus_14,18/08/2023,Vendor A,Purchase,Purchases Vouchers,item1,3.00,10.00,30.00,dep1,wh2,123.00,3.00
Focus_14,18/08/2023,Vendor A,Purchase,Purchases Vouchers,item2,8.00,4.00,32.00,dep1,wh2,,8.00
Focus_14,18/08/2023,Vendor A,Purchase,Purchases Vouchers,item3,9.00,5.00,45.00,dep1,wh2,,9.00
Focus_15,23/08/2023,Vendor A,Purchase,Purchases Vouchers,item1,50.00,10.00,500.00,dep1,wh1,123.00,50.00
Focus_15,23/08/2023,Vendor A,Purchase,Purchases Vouchers,item2,7.50,15.00,112.50,dep1,wh1,,7.50
21,23/08/2023,Vendor A,,Material Receipt Notes,item1,50.00,10.00,500.00,dep1,wh1,123.00,50.00
21,23/08/2023,Vendor A,,Material Receipt Notes,item2,7.50,15.00,112.50,dep1,wh1,,7.50
Focus_19,23/08/2023,Vendor A,Purchase,Purchases Vouchers,item1,10.00,10.00,100.00,dep3,wh1,123.00,10.00
Focus_19,23/08/2023,Vendor A,Purchase,Purchases Vouchers,item2,7.50,15.00,112.50,dep1,wh1,,7.50
Focus_22,28/08/2023,Vendor B,Purchase,Purchases Vouchers,item3,10.00,2.00,20.00,dep2,wh3,,10.00
Focus_22,28/08/2023,Vendor B,Purchase,Purchases Vouchers,item1,5.00,6.00,30.00,dep4,wh3,123.00,5.00
Focus_16,28/08/2023,Vendor A,Purchase,Purchases Vouchers,item1,15.00,3.00,45.00,dep1,wh1,123.00,15.00
Focus_16,28/08/2023,Vendor A,Purchase,Purchases Vouchers,item2,10.00,6.00,60.00,dep2,wh1,,10.00
Focus_17,28/08/2023,Vendor B,Purchase,Purchases Vouchers,item3,9.00,6.00,54.00,dep2,wh3,,9.00
Focus_17,28/08/2023,Vendor B,Purchase,Purchases Vouchers,item1,12.00,3.00,36.00,dep4,wh3,123.00,12.00
Focus_18,28/08/2023,Vendor A,Purchase,Purchases Vouchers,item3,9.00,15.00,135.00,dep2,wh3,,9.00
Focus_18,28/08/2023,Vendor A,Purchase,Purchases Vouchers,item1,12.00,10.00,120.00,dep4,wh3,123.00,12.00
6,28/08/2023,Vendor C,Purchase,Purchases Returns,item2,10.00,6.00,60.00,dep2,wh2,,10.00
Focus_20,29/08/2023,Vendor A,Purchase,Purchases Vouchers,item1,3.00,10.00,30.00,dep1,wh2,123.00,3.00
Focus_20,29/08/2023,Vendor A,Purchase,Purchases Vouchers,item2,8.00,8.00,64.00,dep1,wh2,,8.00
Focus_20,29/08/2023,Vendor A,Purchase,Purchases Vouchers,item3,9.00,3.00,27.00,dep1,wh2,,9.00
8,31/08/2023,,,Stock Transfers,RMA1,1.00,5.00,5.00,,wh1,,1.00
8,31/08/2023,,,Stock Transfers,RMA1,1.00,5.00,5.00,,wh2,,1.00
9,31/08/2023,,,Stock Transfers,RMA1,1.00,8.00,8.00,,wh2,,1.00
9,31/08/2023,,,Stock Transfers,RMA1,1.00,8.00,8.00,,wh3,,1.00
1,05/09/2023,Customer B,Sales - Home Appliances,New Sales Invoice,ZARA-TOP,199.00,9.00,1791.00,dep1,wh1,,199.00
10,15/09/2023,,,Stock Transfers,RMA1,1.00,2.00,2.00,,wh1,,1.00
10,15/09/2023,,,Stock Transfers,RMA1,1.00,2.00,2.00,,wh2,,1.00
11,15/09/2023,,,Stock Transfers,RMA1,1.00,6.00,6.00,,wh1,,1.00
11,15/09/2023,,,Stock Transfers,RMA1,1.00,6.00,6.00,,wh2,,1.00
5,17/09/2023,Customer A,Cost of goods sold - Computers,New SI,item1,10.00,3.60,36.00,dep1,wh2,123.00,10.00
22,25/09/2023,Vendor A,,Material Receipt Notes,item3,9.00,15.00,135.00,dep1,wh3,,9.00
20,25/09/2023,Customer B,Sales - Computers,Sales Invoices,item1,5.00,3.00,15.00,dep3,wh2,123.00,5.00
21,25/09/2023,Customer B,Sales - Computers,Sales Invoices,item1,2.00,3.00,6.00,dep3,wh2,123.00,2.00
21,25/09/2023,Customer B,Sales - Computers,Sales Invoices,item1,5.00,3.00,15.00,dep3,wh2,123.00,5.00
4,26/09/2023,Vendor B,Purchase,New Pv,item1,10.00,3.00,30.00,dep1,wh1,123.00,10.00
4,26/09/2023,Vendor B,Purchase,New Pv,item2,15.00,2.00,30.00,dep1,wh1,,15.00
1,26/09/2023,Vendor B,Purchase,New PR,item1,2.00,3.00,6.00,dep1,wh1,123.00,2.00
1,26/09/2023,Vendor B,Purchase,New PR,item2,3.00,2.00,6.00,dep1,wh1,,3.00
3,26/09/2023,Vendor A,Purchase,New Pv,item1,5.00,2.00,10.00,dep2,wh2,123.00,5.00
3,26/09/2023,Vendor A,Purchase,New Pv,item3,10.00,3.00,30.00,dep2,wh2,,10.00
5,26/09/2023,Vendor A,Purchase,New Pv,item1,5.00,3.00,15.00,dep2,wh2,123.00,5.00
5,26/09/2023,Vendor A,Purchase,New Pv,item3,10.00,3.00,30.00,dep3,wh2,,10.00
13,26/10/2023,,,Stock Transfers,RMA1,1.00,6.00,6.00,,wh2,,1.00
13,26/10/2023,,,Stock Transfers,RMA1,1.00,6.00,6.00,,wh3,,1.00
14,26/10/2023,,,Stock Transfers,RMA1,1.00,6.00,6.00,,wh2,,1.00
14,26/10/2023,,,Stock Transfers,RMA1,1.00,6.00,6.00,,wh3,,1.00
34,30/10/2023,Customer C,Sales - Computers,Sales Invoices,item1,20.00,,,dep3,wh3,123.00,
22,30/10/2023,Customer C,Sales - Computers,Sales Invoices,item1,38.00,23.00,874.00,dep3,wh3,123.00,38.00
22,30/10/2023,Customer C,Sales - Computers,Sales Invoices,item3,25.00,9.00,225.00,dep3,wh3,,25.00
29,30/10/2023,Customer A,Sales - Computers,Sales Invoices,item1,15.00,,,dep1,wh2,123.00,
30,30/10/2023,Customer C,Sales - Computers,Sales Invoices,item1,50.00,,,dep3,wh3,123.00,
31,30/10/2023,Customer C,Sales - Computers,Sales Invoices,item1,20.00,,,dep3,wh3,123.00,
23,06/11/2023,Customer B,Sales - Computers,Sales Invoices,item3,10.00,10.00,100.00,dep2,wh3,,10.00
18,06/11/2023,,,Stock Transfers,RMA1,1.00,6.00,6.00,,wh2,,1.00
18,06/11/2023,,,Stock Transfers,RMA1,1.00,6.00,6.00,,wh3,,1.00
19,06/11/2023,,,Stock Transfers,RMA1,1.00,6.00,6.00,,wh2,,1.00
19,06/11/2023,,,Stock Transfers,RMA1,1.00,6.00,6.00,,wh3,,1.00
24,07/11/2023,Customer A,Sales - Computers,Sales Invoices,RMA1,1.00,6.00,6.00,dep1,wh4,,1.00
24,07/11/2023,Customer A,Sales - Computers,Sales Invoices,RMA3,1.00,2.00,2.00,dep1,wh4,,1.00
Focus_23,07/11/2023,Vendor A,Purchase,Purchases Vouchers,RMA1,2.00,5.00,10.00,dep1,wh2,,2.00
Focus_23,07/11/2023,Vendor A,Purchase,Purchases Vouchers,RMA2,2.00,,,dep1,wh2,,
6,07/11/2023,Vendor B,Purchase,New Pv,RMA3,2.00,6.00,12.00,dep2,wh2,,2.00
25,07/11/2023,Customer A,Sales - Computers,Sales Invoices,RMA1,2.00,6.00,12.00,dep1,wh2,,2.00
25,07/11/2023,Customer A,Sales - Computers,Sales Invoices,RMA2,1.00,5.00,5.00,dep1,wh2,,1.00
Focus_24,08/11/2023,Vendor C,Purchase,Purchases Vouchers,item1,12.00,3.00,36.00,dep2,wh2,123.00,12.00
Focus_24,08/11/2023,Vendor C,Purchase,Purchases Vouchers,item2,15.00,6.00,90.00,dep2,wh2,,15.00
Focus_24,08/11/2023,Vendor C,Purchase,Purchases Vouchers,item3,13.00,4.00,52.00,dep2,wh2,,13.00
7,08/11/2023,Vendor C,Purchase,Purchases Returns,item3,13.00,4.00,52.00,dep2,wh2,,13.00
8,08/11/2023,Vendor C,Purchase,Purchases Returns,item2,10.00,6.00,60.00,dep2,wh2,,10.00
26,08/11/2023,Customer A,Sales - Computers,Sales Invoices,item4,10.00,5.00,50.00,dep2,wh3,,10.00
5,08/11/2023,Customer B,,Delivery Notes,RMA2,1.00,6.00,6.00,dep1,wh4,,1.00
Focus_25,08/11/2023,Vendor B,Purchase,Purchases Vouchers,RMA1,5.00,6.00,30.00,dep1,wh2,,5.00
Focus_25,08/11/2023,Vendor B,Purchase,Purchases Vouchers,RMA2,3.00,6.00,18.00,dep1,wh2,,3.00
Focus_25,08/11/2023,Vendor B,Purchase,Purchases Vouchers,RMA3,4.00,5.00,20.00,dep1,wh2,,4.00
27,08/11/2023,Custom Duty Payable,Sales - Computers,Sales Invoices,RMA1,2.00,11.00,22.00,dep2,wh2,,2.00
27,08/11/2023,Custom Duty Payable,Sales - Computers,Sales Invoices,RMA2,1.00,,,dep2,wh2,,
27,08/11/2023,Custom Duty Payable,Sales - Computers,Sales Invoices,RMA2,1.00,,,dep2,wh2,,
6,16/11/2023,Customer A,,Delivery Notes,RMA2,1.00,5.00,5.00,dep1,wh3,,1.00
28,16/11/2023,Customer A,Sales - Computers,Sales Invoices,RMA1,3.00,,,dep1,wh2,,
Focus_26,17/11/2023,Vendor C,Purchase,Purchases Vouchers,item1,12.00,10.00,120.00,dep2,wh2,123.00,12.00
Focus_26,17/11/2023,Vendor C,Purchase,Purchases Vouchers,item2,15.00,5.00,75.00,dep2,wh2,,15.00
Focus_26,17/11/2023,Vendor C,Purchase,Purchases Vouchers,item3,13.00,4.00,52.00,dep2,wh2,,13.00
7,20/11/2023,Vendor A,Purchase,New Pv,item1,5.00,8.00,40.00,dep1,wh1,123.00,5.00
8,20/11/2023,Vendor B,Cost of goods sold - Computers,New Pv,item2,4.00,1.00,4.00,dep2,wh3,,4.00
49,20/11/2023,Customer B,Sales - Home Appliances,Sales Invoices,item1,2.00,5.00,10.00,dep2,wh2,123.00,2.00
49,20/11/2023,Customer B,Sales - Home Appliances,Sales Invoices,item2,3.00,3.00,9.00,dep2,wh2,,3.00
Focus_27,21/11/2023,Vendor B,Purchase,Purchases Vouchers,RMA1,5.00,6.00,30.00,dep2,wh2,,5.00
9,21/11/2023,Vendor B,Purchase,Purchases Returns,RMA1,2.00,6.00,12.00,dep2,wh2,,2.00
9,21/11/2023,Vendor B,Purchase,Purchases Returns,RMA1,1.00,11.00,11.00,dep2,wh2,,1.00
9,21/11/2023,Vendor B,Purchase,Purchases Returns,RMA1,1.00,11.00,11.00,dep2,wh2,,1.00
33,21/11/2023,Customer A,Sales - Computers,Sales Invoices,item1,4.00,,,dep2,wh3,123.00,
33,21/11/2023,Customer A,Sales - Computers,Sales Invoices,item2,5.00,,,dep2,wh3,,
23,29/11/2023,,,Stock Transfers,RMA3,1.00,5.00,5.00,,wh5,,1.00
23,29/11/2023,,,Stock Transfers,RMA3,1.00,5.00,5.00,,wh6,,1.00
25,29/11/2023,,,Stock Transfers,RMA3,1.00,5.00,5.00,,wh5,,1.00
25,29/11/2023,,,Stock Transfers,RMA3,1.00,5.00,5.00,,wh6,,1.00
26,29/11/2023,,,Stock Transfers,RMA3,1.00,5.00,5.00,,wh5,,1.00
26,29/11/2023,,,Stock Transfers,RMA3,1.00,5.00,5.00,,wh6,,1.00
27,29/11/2023,,,Stock Transfers,RMA3,1.00,5.00,5.00,,wh5,,1.00
27,29/11/2023,,,Stock Transfers,RMA3,1.00,5.00,5.00,,wh6,,1.00
