"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","47593","checkAlignmentOFWarehouseInViewTAbInSalesInvoiceVAT","Suite","2026-06-05","passed","2026-06-05","com.focus.testcases.VoucherOptionsTest","Test","com.focus.testcases.VoucherOptionsTest","checkAlignmentOFWarehouseInViewTAbInSalesInvoiceVAT"
"","35331","checkSavingAccountMasterWithJurdicationAndPlaceOFSupply","Suite","2026-06-05","passed","2026-06-05","com.focus.testcases.VoucherOptionsTest","Test","com.focus.testcases.VoucherOptionsTest","checkSavingAccountMasterWithJurdicationAndPlaceOFSupply"
"","7838","checkSalesInvoiceVATValidationDepartmentAsStockItem","Suite","2026-06-05","passed","2026-06-05","com.focus.testcases.VoucherOptionsTest","Test","com.focus.testcases.VoucherOptionsTest","checkSalesInvoiceVATValidationDepartmentAsStockItem"
"","19966","checkEnableShowCustomerAssignedItemsunderSalesinvoiceVAT","Suite","2026-06-05","passed","2026-06-05","com.focus.testcases.VoucherOptionsTest","Test","com.focus.testcases.VoucherOptionsTest","checkEnableShowCustomerAssignedItemsunderSalesinvoiceVAT"
"","64774","checkLogin","Suite","2026-06-05","broken","2026-06-05","com.focus.testcases.VoucherOptionsTest","Test","com.focus.testcases.VoucherOptionsTest","checkLogin"
"","32796","checkAssgingWarehouseToItem","Suite","2026-06-05","passed","2026-06-05","com.focus.testcases.VoucherOptionsTest","Test","com.focus.testcases.VoucherOptionsTest","checkAssgingWarehouseToItem"
"","25614","checkItemFilterDrpDwnInSalesInvoiceVATVoucherWizard","Suite","2026-06-05","passed","2026-06-05","com.focus.testcases.VoucherOptionsTest","Test","com.focus.testcases.VoucherOptionsTest","checkItemFilterDrpDwnInSalesInvoiceVATVoucherWizard"
"","27583","checkAssigingItemDependecyUnderSalesInvoiceVAT","Suite","2026-06-05","passed","2026-06-05","com.focus.testcases.VoucherOptionsTest","Test","com.focus.testcases.VoucherOptionsTest","checkAssigingItemDependecyUnderSalesInvoiceVAT"
"","208434","checkSavingMasterTypeFiledInAccountMaster","Suite","2026-06-05","failed","2026-06-05","com.focus.testcases.VoucherOptionsTest","Test","com.focus.testcases.VoucherOptionsTest","checkSavingMasterTypeFiledInAccountMaster"
"","44192","checkAssgingPalceOfSupplyInAccountMaster","Suite","2026-06-05","passed","2026-06-05","com.focus.testcases.VoucherOptionsTest","Test","com.focus.testcases.VoucherOptionsTest","checkAssgingPalceOfSupplyInAccountMaster"
"","44462","checkSavingWareExtraFieldUnderItemGeneralHeaderDetailsTAB","Suite","2026-06-05","passed","2026-06-05","com.focus.testcases.VoucherOptionsTest","Test","com.focus.testcases.VoucherOptionsTest","checkSavingWareExtraFieldUnderItemGeneralHeaderDetailsTAB"
"","45310","checkAccountDependencyAtSalesInvoiceVATAfterAssigningInAxccountMaster","Suite","2026-06-05","passed","2026-06-05","com.focus.testcases.VoucherOptionsTest","Test","com.focus.testcases.VoucherOptionsTest","checkAccountDependencyAtSalesInvoiceVATAfterAssigningInAxccountMaster"
"","32193","checkViewOptionAndMovingItemForwatdUnderViewTAB","Suite","2026-06-05","passed","2026-06-05","com.focus.testcases.VoucherOptionsTest","Test","com.focus.testcases.VoucherOptionsTest","checkViewOptionAndMovingItemForwatdUnderViewTAB"
"","307260","checkRestoreCompany","Suite","2026-06-05","passed","2026-06-05","com.focus.testcases.VoucherOptionsTest","Test","com.focus.testcases.VoucherOptionsTest","checkRestoreCompany"
"","15017","verifyBrowserOpen","Suite","2026-06-05","passed","2026-06-05","com.focus.testcases.URLBrowserTest","Test","com.focus.testcases.URLBrowserTest","verifyBrowserOpen"
"","55006","checkValidationItemsInSalesinvoiceVAT","Suite","2026-06-05","failed","2026-06-05","com.focus.testcases.VoucherOptionsTest","Test","com.focus.testcases.VoucherOptionsTest","checkValidationItemsInSalesinvoiceVAT"
"","43513","checkItemSavingWithDepartmentInItemMaster","Suite","2026-06-05","passed","2026-06-05","com.focus.testcases.VoucherOptionsTest","Test","com.focus.testcases.VoucherOptionsTest","checkItemSavingWithDepartmentInItemMaster"
"","30277","checkAssigingCustomersToItemInItemmaster","Suite","2026-06-05","passed","2026-06-05","com.focus.testcases.VoucherOptionsTest","Test","com.focus.testcases.VoucherOptionsTest","checkAssigingCustomersToItemInItemmaster"
